Airline,Departure,Arrival,price,Duration,Stops,Departure Time,Arrival Time,Day of the Week,Day of the Month
Turkish Airlines,Berlin (BER),Tokyo (HND),1125,1010,1,19:35,19:25,Wednesday,02/08/2023
Turkish Airlines,Berlin (BER),Tokyo (HND),1125,1290,1,14:55,19:25,Wednesday,02/08/2023
Turkish Airlines,Berlin (BER),Tokyo (HND),1125,1405,1,13:00,19:25,Wednesday,02/08/2023
Turkish Airlines,Berlin (BER),Tokyo (HND),1125,1545,1,10:40,19:25,Wednesday,02/08/2023
Scandinavian Airlines,Berlin (BER),Tokyo (HND),1211,1660,1,21:15,07:55,Wednesday,02/08/2023
Air France,Berlin (BER),Tokyo (HND),1253,1000,1,06:15,05:55,Wednesday,02/08/2023
Air France,Berlin (BER),Tokyo (HND),1253,1050,1,18:00,18:30,Wednesday,02/08/2023
Air France,Berlin (BER),Tokyo (HND),1253,1400,1,12:10,18:30,Wednesday,02/08/2023
KLM,Berlin (BER),Tokyo (NRT),1256,990,1,09:05,08:35,Wednesday,02/08/2023
KLM,Berlin (BER),Tokyo (NRT),1256,1175,1,06:00,08:35,Wednesday,02/08/2023
Japan Airlines,Berlin (BER),Tokyo (HND),1289,760,1,13:15,08:55,Wednesday,02/08/2023
Japan Airlines,Berlin (BER),Tokyo (HND),1289,1055,1,13:15,13:50,Wednesday,02/08/2023
All Nippon Airways,Berlin (BER),Tokyo (NRT),1311,960,1,18:45,17:45,Wednesday,02/08/2023
Japan Airlines,Berlin (BER),Tokyo (HND),1333,920,1,16:55,15:15,Wednesday,02/08/2023
Japan Airlines,Berlin (BER),Tokyo (HND),1333,1005,1,11:10,10:55,Wednesday,02/08/2023
Japan Airlines,Berlin (BER),Tokyo (HND),1333,1265,1,11:10,15:15,Wednesday,02/08/2023
Multiple airlines,Berlin (BER),Tokyo (HND),1438,1120,1,12:10,13:50,Wednesday,02/08/2023
Multiple airlines,Berlin (BER),Tokyo (HND),1438,1475,1,06:15,13:50,Wednesday,02/08/2023
Finnair,Berlin (BER),Tokyo (HND),1519,760,1,13:15,08:55,Wednesday,02/08/2023
Finnair,Berlin (BER),Tokyo (HND),1519,1020,1,08:55,08:55,Wednesday,02/08/2023
Finnair,Berlin (BER),Tokyo (HND),1519,1055,1,13:15,13:50,Wednesday,02/08/2023
Finnair,Berlin (BER),Tokyo (HND),1519,1315,1,08:55,13:50,Wednesday,02/08/2023
Multiple airlines,Berlin (BER),Tokyo (HND),1525,1200,2,13:15,16:15,Wednesday,02/08/2023
Multiple airlines,Berlin (BER),Tokyo (HND),1605,760,1,13:15,08:55,Wednesday,02/08/2023
British Airways,Berlin (BER),Tokyo (HND),1622,1005,1,07:25,07:10,Wednesday,02/08/2023
British Airways,Berlin (BER),Tokyo (HND),1622,1005,1,11:10,10:55,Wednesday,02/08/2023
British Airways,Berlin (BER),Tokyo (HND),1622,1230,1,07:25,10:55,Wednesday,02/08/2023
Air France,Berlin (BER),Tokyo (HND),1633,1585,1,20:30,05:55,Wednesday,02/08/2023
Swiss International Air Lines,Berlin (BER),Tokyo (NRT),2550,890,1,10:55,08:45,Wednesday,02/08/2023
Austrian Airlines,Berlin (BER),Tokyo (NRT),2551,1010,1,09:00,08:50,Wednesday,02/08/2023
Lufthansa,Berlin (BER),Tokyo (HND),2551,860,1,10:50,08:10,Wednesday,02/08/2023
Multiple airlines,Berlin (BER),Tokyo (HND),2553,860,1,10:50,08:10,Wednesday,02/08/2023
