TAP Portugal,Berlin (BER),Rio de... (GIG),907,1000,2,17:45,05:25,Friday,4/08/2023
KLM,Berlin (BER),Rio de... (GIG),956,940,1,09:05,19:45,Friday,4/08/2023
KLM,Berlin (BER),Rio de... (GIG),956,1125,1,06:00,19:45,Friday,4/08/2023
KLM,Berlin (BER),Rio de... (GIG),1082,1685,1,20:40,19:45,Friday,4/08/2023
Multiple airlines,Berlin (BER),Rio de... (GIG),1144,1195,2,16:50,07:45,Friday,4/08/2023
Lufthansa,Berlin (BER),Rio de... (GIG),1175,1020,2,19:45,07:45,Friday,4/08/2023
Lufthansa,Berlin (BER),Rio de... (GIG),1175,1080,2,18:45,07:45,Friday,4/08/2023
Lufthansa,Berlin (BER),Rio de... (GIG),1175,1140,2,17:45,07:45,Friday,4/08/2023
Lufthansa,Berlin (BER),Rio de... (GIG),1175,1320,2,14:45,07:45,Friday,4/08/2023
Multiple airlines,Berlin (BER),Rio de... (SDU),1185,1040,2,20:30,08:50,Friday,4/08/2023
Multiple airlines,Berlin (BER),Rio de... (GIG),1185,1080,2,20:30,09:30,Friday,4/08/2023
Multiple airlines,Berlin (BER),Rio de... (SDU),1185,1085,2,19:45,08:50,Friday,4/08/2023
Multiple airlines,Berlin (BER),Rio de... (SDU),1185,1115,2,20:30,10:05,Friday,4/08/2023
Multiple airlines,Berlin (BER),Rio de... (GIG),1185,1125,2,19:45,09:30,Friday,4/08/2023
Multiple airlines,Berlin (BER),Rio de... (SDU),1185,1160,2,19:45,10:05,Friday,4/08/2023
Multiple airlines,Berlin (BER),Rio de... (SDU),1185,1160,2,20:30,10:50,Friday,4/08/2023
Multiple airlines,Berlin (BER),Rio de... (GIG),1185,1160,2,20:30,10:50,Friday,4/08/2023
Multiple airlines,Berlin (BER),Rio de... (GIG),1185,1185,2,20:30,11:15,Friday,4/08/2023
Multiple airlines,Berlin (BER),Rio de... (SDU),1185,1205,2,19:45,10:50,Friday,4/08/2023
Multiple airlines,Berlin (BER),Rio de... (GIG),1185,1230,2,19:45,11:15,Friday,4/08/2023
TAP Portugal,Berlin (BER),Rio de... (GIG),584,1000,1,06:00,17:40,Saturday,5/08/2023
TAP Portugal,Berlin (BER),Rio de... (GIG),770,995,2,17:50,05:25,Saturday,5/08/2023
TAP Portugal,Berlin (BER),Rio de... (GIG),784,1030,1,17:15,05:25,Saturday,5/08/2023
KLM,Berlin (BER),Rio de... (GIG),956,1125,1,06:00,19:45,Saturday,5/08/2023
Air France,Berlin (BER),Rio de... (GIG),963,1685,1,20:30,19:35,Saturday,5/08/2023
KLM,Berlin (BER),Rio de... (GIG),1082,940,1,09:05,19:45,Saturday,5/08/2023
British Airways,Berlin (BER),Rio de... (GIG),1097,1685,1,21:00,20:05,Saturday,5/08/2023
British Airways,Berlin (BER),Rio de... (GIG),1097,1750,1,19:55,20:05,Saturday,5/08/2023
Lufthansa,Berlin (BER),Rio de... (GIG),1175,1080,2,18:45,07:45,Saturday,5/08/2023
Lufthansa,Berlin (BER),Rio de... (GIG),1175,1140,2,17:45,07:45,Saturday,5/08/2023
Lufthansa,Berlin (BER),Rio de... (GIG),1175,1200,2,16:45,07:45,Saturday,5/08/2023
Lufthansa,Berlin (BER),Rio de... (GIG),1175,1320,2,14:45,07:45,Saturday,5/08/2023
Multiple airlines,Berlin (BER),Rio de... (SDU),1185,1145,2,18:45,08:50,Saturday,5/08/2023
Multiple airlines,Berlin (BER),Rio de... (SDU),1185,1220,2,18:45,10:05,Saturday,5/08/2023
Air France,Berlin (BER),Rio de... (GIG),1241,1100,1,06:15,19:35,Saturday,5/08/2023
Turkish Airlines,Berlin (BER),Rio de... (SDU),1251,1875,2,19:35,21:50,Saturday,5/08/2023
Multiple airlines,Berlin (BER),Rio de... (GIG),1300,1080,2,18:45,07:45,Saturday,5/08/2023
LATAM Airlines Group,Berlin (BER),Rio de... (GIG),1300,1080,2,18:45,07:45,Saturday,5/08/2023
LATAM Airlines Group,Berlin (BER),Rio de... (SDU),1300,1145,2,18:45,08:50,Saturday,5/08/2023
LATAM Airlines Group,Berlin (BER),Rio de... (GIG),1300,1185,2,18:45,09:30,Saturday,5/08/2023
LATAM Airlines Group,Berlin (BER),Rio de... (SDU),1300,1220,2,18:45,10:05,Saturday,5/08/2023
LATAM Airlines Group,Berlin (BER),Rio de... (GIG),1300,1285,2,18:45,11:10,Saturday,5/08/2023
LATAM Airlines Group,Berlin (BER),Rio de... (SDU),1300,1475,2,18:45,14:20,Saturday,5/08/2023
Swiss International Air Lines,Berlin (BER),Rio de... (GIG),1350,1185,2,18:45,09:30,Saturday,5/08/2023
Lufthansa,Berlin (BER),Rio de... (GIG),1357,1020,2,19:45,07:45,Saturday,5/08/2023
