Airline,Departure,Arrival,price,Duration,Stops,Departure_Time,Arrival_Time,Day_Week,Day_Month,Destination
Aegean,Berlin (BER),Cairo (CAI),366,555,1,11:15,20:30,Friday,4/08/2023,Cairo
Aegean,Berlin (BER),Cairo (CAI),375,415,1,11:15,18:10,Friday,4/08/2023,Cairo
Aegean,Berlin (BER),Cairo (CAI),442,535,2,15:55,00:50,Friday,4/08/2023,Cairo
Turkish Airlines,Berlin (BER),Cairo (CAI),575,375,1,19:35,01:50,Friday,4/08/2023,Cairo
Turkish Airlines,Berlin (BER),Cairo (CAI),575,415,1,13:00,19:55,Friday,4/08/2023,Cairo
Turkish Airlines,Berlin (BER),Cairo (CAI),575,555,1,10:40,19:55,Friday,4/08/2023,Cairo
Turkish Airlines,Berlin (BER),Cairo (CAI),575,750,1,19:35,08:05,Friday,4/08/2023,Cairo
Turkish Airlines,Berlin (BER),Cairo (CAI),575,770,1,13:00,01:50,Friday,4/08/2023,Cairo
Turkish Airlines,Berlin (BER),Cairo (CAI),575,775,1,07:00,19:55,Friday,4/08/2023,Cairo
Turkish Airlines,Berlin (BER),Cairo (CAI),575,910,1,10:40,01:50,Friday,4/08/2023,Cairo
Turkish Airlines,Berlin (BER),Cairo (CAI),575,1130,1,07:00,01:50,Friday,4/08/2023,Cairo
Turkish Airlines,Berlin (BER),Cairo (CAI),575,1145,1,13:00,08:05,Friday,4/08/2023,Cairo
Turkish Airlines,Berlin (BER),Cairo (CAI),575,1285,1,10:40,08:05,Friday,4/08/2023,Cairo
Turkish Airlines,Berlin (BER),Cairo (CAI),580,655,1,14:55,01:50,Friday,4/08/2023,Cairo
Turkish Airlines,Berlin (BER),Cairo (CAI),580,1030,1,14:55,08:05,Friday,4/08/2023,Cairo
KLM,Berlin (BER),Cairo (CAI),708,710,2,12:15,00:05,Friday,4/08/2023,Cairo
Lufthansa,Berlin (BER),Cairo (CAI),781,385,1,08:50,15:15,Friday,4/08/2023,Cairo
Lufthansa,Berlin (BER),Cairo (CAI),781,475,1,07:20,15:15,Friday,4/08/2023,Cairo
Lufthansa,Berlin (BER),Cairo (CAI),781,535,1,06:20,15:15,Friday,4/08/2023,Cairo
Austrian Airlines,Berlin (BER),Cairo (CAI),784,345,1,09:00,14:45,Friday,4/08/2023,Cairo
Austrian Airlines,Berlin (BER),Cairo (CAI),784,355,1,19:45,01:40,Friday,4/08/2023,Cairo
Austrian Airlines,Berlin (BER),Cairo (CAI),784,455,1,11:15,18:50,Friday,4/08/2023,Cairo
Austrian Airlines,Berlin (BER),Cairo (CAI),784,465,1,07:00,14:45,Friday,4/08/2023,Cairo
Aegean,Berlin (BER),Cairo (CAI),258,455,1,17:15,00:50,Saturday,5/08/2023,Cairo
Aegean,Berlin (BER),Cairo (CAI),258,885,1,17:15,08:00,Saturday,5/08/2023,Cairo
Aegean,Berlin (BER),Cairo (CAI),285,415,1,11:15,18:10,Saturday,5/08/2023,Cairo
Aegean,Berlin (BER),Cairo (CAI),316,815,1,11:15,00:50,Saturday,5/08/2023,Cairo
Egyptair,Berlin (BER),Cairo (CAI),381,245,0,15:45,19:50,Saturday,5/08/2023,Cairo
Aegean,Berlin (BER),Cairo (CAI),425,555,1,11:15,20:30,Saturday,5/08/2023,Cairo
Turkish Airlines,Berlin (BER),Cairo (CAI),580,375,1,19:35,01:50,Saturday,5/08/2023,Cairo
Turkish Airlines,Berlin (BER),Cairo (CAI),580,415,1,13:00,19:55,Saturday,5/08/2023,Cairo
Turkish Airlines,Berlin (BER),Cairo (CAI),580,555,1,10:40,19:55,Saturday,5/08/2023,Cairo
Turkish Airlines,Berlin (BER),Cairo (CAI),580,655,1,14:55,01:50,Saturday,5/08/2023,Cairo
Turkish Airlines,Berlin (BER),Cairo (CAI),580,750,1,19:35,08:05,Saturday,5/08/2023,Cairo
Turkish Airlines,Berlin (BER),Cairo (CAI),580,770,1,13:00,01:50,Saturday,5/08/2023,Cairo
Turkish Airlines,Berlin (BER),Cairo (CAI),580,775,1,07:00,19:55,Saturday,5/08/2023,Cairo
Turkish Airlines,Berlin (BER),Cairo (CAI),580,910,1,10:40,01:50,Saturday,5/08/2023,Cairo
Turkish Airlines,Berlin (BER),Cairo (CAI),580,1030,1,14:55,08:05,Saturday,5/08/2023,Cairo
Turkish Airlines,Berlin (BER),Cairo (CAI),580,1130,1,07:00,01:50,Saturday,5/08/2023,Cairo
Turkish Airlines,Berlin (BER),Cairo (CAI),580,1145,1,13:00,08:05,Saturday,5/08/2023,Cairo
Turkish Airlines,Berlin (BER),Cairo (CAI),580,1285,1,10:40,08:05,Saturday,5/08/2023,Cairo
Turkish Airlines,Berlin (BER),Cairo (CAI),580,1460,1,19:35,19:55,Saturday,5/08/2023,Cairo
Air France,Berlin (BER),Cairo (CAI),678,1070,1,06:15,00:05,Saturday,5/08/2023,Cairo
Swiss International Air Lines,Berlin (BER),Cairo (CAI),779,1005,1,18:45,11:30,Saturday,5/08/2023,Cairo
Swiss International Air Lines,Berlin (BER),Cairo (CAI),779,1235,1,14:55,11:30,Saturday,5/08/2023,Cairo
Lufthansa,Berlin (BER),Cairo (CAI),781,400,1,12:50,19:30,Saturday,5/08/2023,Cairo
Lufthansa,Berlin (BER),Cairo (CAI),781,440,1,17:50,01:10,Saturday,5/08/2023,Cairo
Lufthansa,Berlin (BER),Cairo (CAI),781,560,1,15:50,01:10,Saturday,5/08/2023,Cairo
Aegean,Berlin (BER),Cairo (CAI),258,455,1,17:15,00:50,Sunday,6/08/2023,Cairo
Aegean,Berlin (BER),Cairo (CAI),258,815,1,11:15,00:50,Sunday,6/08/2023,Cairo
Egyptair,Berlin (BER),Cairo (CAI),381,245,0,15:45,19:50,Sunday,6/08/2023,Cairo
Aegean,Berlin (BER),Cairo (CAI),425,555,1,11:15,20:30,Sunday,6/08/2023,Cairo
Aegean,Berlin (BER),Cairo (CAI),497,480,2,16:50,00:50,Sunday,6/08/2023,Cairo
Air France,Berlin (BER),Cairo (CAI),562,1655,1,20:30,00:05,Sunday,6/08/2023,Cairo
Turkish Airlines,Berlin (BER),Cairo (CAI),580,375,1,19:35,01:50,Sunday,6/08/2023,Cairo
Turkish Airlines,Berlin (BER),Cairo (CAI),580,555,1,10:40,19:55,Sunday,6/08/2023,Cairo
Turkish Airlines,Berlin (BER),Cairo (CAI),580,655,1,14:55,01:50,Sunday,6/08/2023,Cairo
